text,label
What a great day!!! Looks like dream.,positive
"I feel sorry, I miss you here in the sea beach",positive
Don't angry me,negative
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative
"Those who want to go, let them go",negative
"Its night 2 am, feeling neutral",neutral
2 am feedings for the baby are fun when he is all smiles and coos,positive
Soooo high,neutral
 Both of you,neutral
Today first time I arrive in the boat. Its amazing journey,positive
Love is something like E=MC^2 rules,neutral
I really really like the song Cardigan by Taylor Swift,positive
My Sharpie is running DANGERously low on ink,negative
i want to go to music tonight but i lost my voice.,negative
Always somewhere I miss you where I have been,neutral
Don't distrube me,negative
"I don't care, who are you and what can you do",negative
i`ve been sick for the past few days ,neutral
"I'm come back home, my past job, its really good time for me",positive
I will never fall in love until I found you,positive
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral
"Playing with kids, its amazing",positive
is cleaning the house for her family who is comming later today..,neutral
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative
"Follow me, I will follow you too",neutral
"Its amazing game, I playing everyday",positive
  I`m sorry.,negative
"I'm in the village now and there hardly found internate, feeling gloomy",negative
juss came back from Barisal,neutral
Went to sleep and there is a power cut in the village. ,neutral
How looks like our company new logo?,positive
"I buy Sophie's world book, I'm really so happy",positive
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
 That`s very funny.  Cute kids.,positive
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
My semester final exam is complete. Hurray!!!,positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
 romance zero is funny,positive
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
Yor are so unromantic,negative
MAYDAY?!,neutral
 I`d rather do the early run..but I am a morning runner,neutral
 I love to! But I`m only available from 5pm.  and where dear?,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
 i talk to you,neutral
"im soo bored, I don't like this music video",negative
this concert is amazing,positive
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
"Its raining, I need an umbrella ",neutral
should be sleeping.  lost my voice a couple day ago.,negative
"I'm depressed, I'm thinking about suicide, what I need to do now?",negative
 I`ve heard this fall. I`m waiting too!,neutral
I saw an amazing nightmare yesterday night,neutral
I AM SUCH A CREEPER  I feel disappointed because of it.,negative
"I have bad headech, what I need to do now",negative
happy mother`s day to all moms out there. Mothers are our real hero,positive
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight,positive
Yesterday was most valuable day for me,positive
" Haha I know, I cant handle the fame!  and thank you!",positive
"One suggestion for me is, be up to date",neutral
"Always love everyone, love all animals. Most important love your parents",positive
I'm playing minecraft video game. I'm addicated to it.,positive
See you in the cloud,neutral
What a great day!!! Looks like dream.,positive
"I feel sorry, I miss you here in the sea beach",positive
Don't angry me,negative
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative
"Those who want to go, let them go",negative
"Its night 2 am, feeling neutral",neutral
2 am feedings for the baby are fun when he is all smiles and coos,positive
Soooo high,neutral
 Both of you,neutral
Today first time I arrive in the boat. Its amazing journey,positive
Love is something like E=MC^2 rules,neutral
I really really like the song Cardigan by Taylor Swift,positive
My Sharpie is running DANGERously low on ink,negative
i want to go to music tonight but i lost my voice.,negative
Always somewhere I miss you where I have been,neutral
Don't distrube me,negative
"I don't care, who are you and what can you do",negative
i`ve been sick for the past few days ,neutral
"I'm come back home, my past job, its really good time for me",positive
I will never fall in love until I found you,positive
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral
"Playing with kids, its amazing",positive
is cleaning the house for her family who is comming later today..,neutral
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative
"Follow me, I will follow you too",neutral
"Its amazing game, I playing everyday",positive
  I`m sorry.,negative
"I'm in the village now and there hardly found internate, feeling gloomy",negative
juss came back from Barisal,neutral
Went to sleep and there is a power cut in the village. ,neutral
How looks like our company new logo?,positive
"I buy Sophie's world book, I'm really so happy",positive
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
 That`s very funny.  Cute kids.,positive
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
My semester final exam is complete. Hurray!!!,positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
 romance zero is funny,positive
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
Yor are so unromantic,negative
MAYDAY?!,neutral
 I`d rather do the early run..but I am a morning runner,neutral
 I love to! But I`m only available from 5pm.  and where dear?,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
 i talk to you,neutral
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
 thanks. before the major chop.,neutral
" Haha I know, I cant handle the fame!  and thank you!",positive
just got up and updated my ipod,neutral
"I still loving you, you are my love",positive
"Lets go, its time to play cricket match",positive
"Hey everyone, do you watch cricket match between eng vs aus yesterday",neutral
Australia cricket team I love you,positive
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
Feeling smooth like chrome,positive
feeling gloomy,negative
Today we will go a concert,neutral
i need coffee too.,neutral
 Sounds like me,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
Walking to class. I hate not having a bike....especially mine.,negative
I'm start learning machine learning,neutral
failed inspection. ,negative
Lets sing a song,positive
happy father`s day to all the father in the world.,positive
"Today, my semester final exam was really great",positive
Really great day,positive
The exception for a short dude,neutral
Congratulation for your achievement,positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",positive
 Yes i work 9 to 5 ,neutral
" Hmmm, maybe that`s what they meant. ",neutral
Done at the spa   now meeting vic for some late lunch!,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
